id_envio,nombre_producto,id_camion,zona_destino,km_recorridos,tipo_entrega
1,Pendrive,2,lanus,63,1
2,Licuadora,6,avellaneda,69,2
3,Cocina,6,lanus,18,2
4,Televisor,1,caba,90,2
5,Pendrive,4,caba,58,0
6,Radio,2,bandfield,25,2
7,Radio,2,caba,69,2
8,Radio,5,quilmes,79,1
9,Lavarropas,4,quilmes,47,2
10,Radio,4,bandfield,25,0
11,Radio,4,bandfield,75,1
12,Plancha,3,bandfield,36,1
13,Radio,4,bandfield,53,2
14,Pendrive,1,avellaneda,43,1
15,Televisor,2,quilmes,90,0
16,Plancha,1,quilmes,68,1
17,Plancha,7,lanus,36,0
18,Licuadora,5,quilmes,84,1
19,Radio,7,quilmes,90,1
20,Radio,3,quilmes,40,2
21,Licuadora,2,bandfield,85,0
22,Licuadora,6,bandfield,15,0
23,Plancha,1,avellaneda,82,2
24,Cocina,7,caba,83,1
25,Licuadora,7,lanus,74,2
26,Pendrive,5,avellaneda,56,1
27,Pendrive,7,bandfield,112,2
28,Lavarropas,1,bandfield,104,1
29,Lavarropas,4,caba,116,0
30,Radio,3,bandfield,13,2
31,Radio,3,quilmes,42,0
32,Cocina,1,caba,11,1
33,Cocina,4,caba,19,2
34,Lavarropas,7,lanus,100,1
35,Lavarropas,6,quilmes,98,0
36,Plancha,4,avellaneda,40,1
37,Licuadora,5,avellaneda,37,1
38,Pendrive,2,avellaneda,97,1
39,Lavarropas,7,lanus,113,1
40,Plancha,3,avellaneda,21,0
41,Televisor,5,caba,66,1
42,Radio,1,bandfield,94,0
43,Cocina,7,quilmes,104,2
44,Cocina,3,bandfield,15,2
45,Radio,7,avellaneda,97,2
46,Radio,6,caba,91,1
47,Cocina,3,caba,64,2
48,Pendrive,5,avellaneda,64,2
49,Pendrive,4,quilmes,59,1
50,Lavarropas,2,bandfield,92,2
51,Lavarropas,6,bandfield,83,2
52,Plancha,1,avellaneda,70,2
53,Radio,2,bandfield,33,1
54,Plancha,2,bandfield,26,2
55,Televisor,5,avellaneda,84,0
56,Televisor,7,bandfield,104,2
57,Lavarropas,2,bandfield,19,2
58,Radio,6,caba,67,0
59,Licuadora,6,lanus,79,1
60,Radio,5,bandfield,63,2
61,Cocina,1,lanus,91,0
62,Plancha,3,caba,103,0
63,Pendrive,6,avellaneda,45,2
64,Licuadora,5,caba,75,2
65,Pendrive,6,avellaneda,43,2
66,Pendrive,2,lanus,43,0
67,Cocina,4,quilmes,96,2
68,Licuadora,7,lanus,58,1
69,Lavarropas,2,lanus,102,0
70,Plancha,2,bandfield,103,0
71,Lavarropas,6,caba,99,2
72,Radio,7,caba,89,2
73,Radio,2,lanus,43,2
74,Televisor,4,bandfield,47,2
75,Plancha,7,bandfield,26,0
76,Pendrive,3,lanus,74,0
77,Licuadora,7,caba,68,0
78,Pendrive,4,quilmes,102,2
79,Pendrive,6,quilmes,59,1
80,Plancha,1,caba,118,2
81,Licuadora,7,caba,91,1
82,Televisor,3,avellaneda,48,0
83,Lavarropas,1,bandfield,19,2
84,Cocina,4,bandfield,90,0
85,Plancha,7,caba,76,2
86,Pendrive,2,avellaneda,97,2
87,Radio,7,avellaneda,98,0
88,Cocina,1,bandfield,52,2
89,Licuadora,7,quilmes,37,1
90,Plancha,1,bandfield,10,1
91,Cocina,2,bandfield,21,2
92,Licuadora,1,bandfield,75,1
93,Pendrive,1,caba,17,0
94,Radio,5,bandfield,83,0
95,Pendrive,7,bandfield,108,0
96,Televisor,2,quilmes,117,1
97,Radio,3,caba,109,2
98,Pendrive,2,quilmes,84,1
99,Cocina,2,caba,85,1
100,Cocina,7,avellaneda,71,2
101,Lavarropas,4,avellaneda,75,0
102,Cocina,5,caba,77,2
103,Televisor,3,bandfield,61,2
104,Cocina,6,avellaneda,106,1
105,Lavarropas,5,lanus,27,1
106,Plancha,1,bandfield,77,2
107,Pendrive,3,quilmes,76,2
108,Pendrive,6,quilmes,115,0
109,Lavarropas,6,lanus,25,2
110,Plancha,1,quilmes,106,2
111,Televisor,7,bandfield,95,2
112,Plancha,4,lanus,102,2
113,Cocina,2,caba,60,2
114,Cocina,1,bandfield,76,1
115,Licuadora,1,caba,114,0
116,Televisor,4,lanus,60,2
117,Lavarropas,2,bandfield,109,1
118,Cocina,4,avellaneda,11,0
119,Televisor,2,bandfield,104,1
120,Televisor,4,bandfield,38,2
121,Pendrive,3,caba,104,2
122,Radio,7,quilmes,55,0
123,Pendrive,5,lanus,27,1
124,Radio,6,avellaneda,32,2
125,Cocina,5,avellaneda,72,0
126,Cocina,3,caba,94,1
127,Plancha,5,lanus,81,1
128,Cocina,7,quilmes,111,0
129,Lavarropas,3,avellaneda,21,0
130,Lavarropas,3,bandfield,120,2
131,Radio,7,bandfield,44,1
132,Licuadora,7,bandfield,102,1
133,Cocina,1,lanus,49,1
134,Radio,5,bandfield,77,0
135,Plancha,6,avellaneda,120,1
136,Pendrive,5,bandfield,61,0
137,Televisor,4,lanus,51,2
138,Plancha,7,avellaneda,114,0
139,Televisor,7,quilmes,117,0
140,Lavarropas,6,quilmes,111,2
141,Pendrive,5,avellaneda,86,0
142,Pendrive,2,quilmes,34,0
143,Plancha,1,caba,62,0
144,Plancha,4,lanus,61,2
145,Plancha,1,bandfield,71,2
146,Cocina,4,bandfield,60,2
147,Televisor,7,quilmes,113,1
148,Pendrive,6,lanus,104,0
149,Lavarropas,6,caba,94,1
150,Radio,1,quilmes,92,1
151,Cocina,7,avellaneda,114,0
152,Cocina,7,bandfield,35,2
153,Pendrive,4,quilmes,73,2
154,Radio,2,quilmes,11,1
155,Lavarropas,5,lanus,114,1
156,Cocina,5,lanus,25,2
157,Televisor,7,lanus,22,1
158,Licuadora,6,avellaneda,81,0
159,Lavarropas,1,lanus,110,1
160,Pendrive,2,bandfield,109,1
161,Lavarropas,5,avellaneda,114,2
162,Pendrive,5,avellaneda,96,1
163,Pendrive,2,caba,51,2
164,Lavarropas,1,quilmes,19,2
165,Cocina,1,bandfield,77,2
166,Cocina,1,caba,52,2
167,Radio,3,quilmes,96,0
168,Plancha,6,avellaneda,53,0
169,Cocina,7,avellaneda,86,2
170,Licuadora,5,bandfield,45,1
171,Televisor,6,quilmes,38,2
172,Licuadora,1,lanus,79,2
173,Licuadora,7,avellaneda,23,2
174,Plancha,3,quilmes,99,1
175,Cocina,1,quilmes,87,2
176,Licuadora,3,quilmes,61,0
177,Plancha,3,avellaneda,10,2
178,Cocina,2,caba,85,2
179,Televisor,2,lanus,102,0
180,Lavarropas,3,bandfield,118,1
181,Lavarropas,2,caba,103,1
182,Licuadora,5,lanus,69,1
183,Licuadora,1,bandfield,93,2
184,Televisor,7,lanus,46,0
185,Lavarropas,6,bandfield,90,0
186,Televisor,2,avellaneda,22,0
187,Televisor,2,caba,73,1
188,Televisor,5,quilmes,114,1
189,Licuadora,5,quilmes,59,2
190,Plancha,2,avellaneda,55,1
191,Cocina,7,quilmes,75,0
192,Licuadora,6,avellaneda,98,2
193,Televisor,7,caba,31,0
194,Pendrive,3,bandfield,33,1
195,Televisor,6,bandfield,15,2
196,Plancha,6,lanus,38,1
197,Cocina,4,avellaneda,56,0
198,Cocina,7,caba,59,0
199,Radio,7,avellaneda,90,2
200,Televisor,1,quilmes,36,2
